# Time(ps) Median_Mean_Curvature(1/A)
66300.0000 0.00642306
66400.0000 0.00644585
66500.0000 0.00646526
66600.0000 0.00649030
66700.0000 0.00644364
66800.0000 0.00644509
66900.0000 0.00656156
67000.0000 0.00656127
67100.0000 0.00651294
67200.0000 0.00652006
67300.0000 0.00663521
67400.0000 0.00663445
67500.0000 0.00667457
67600.0000 0.00667228
67700.0000 0.00669642
67800.0000 0.00666686
67900.0000 0.00672393
68000.0000 0.00672829
68100.0000 0.00672017
68200.0000 0.00669718
68300.0000 0.00669158
68400.0000 0.00667399
68500.0000 0.00677798
68600.0000 0.00683813
68700.0000 0.00684507
68800.0000 0.00679890
68900.0000 0.00671171
69000.0000 0.00673389
69100.0000 0.00682811
69200.0000 0.00675319
69300.0000 0.00674004
69400.0000 0.00677894
69500.0000 0.00678511
69600.0000 0.00683028
69700.0000 0.00691793
69800.0000 0.00689157
69900.0000 0.00700755
70000.0000 0.00697380
70100.0000 0.00703328
70200.0000 0.00709841
70300.0000 0.00699533
70400.0000 0.00703235
70500.0000 0.00700757
70600.0000 0.00704148
70700.0000 0.00706033
70800.0000 0.00716013
70900.0000 0.00714102
71000.0000 0.00711862
71100.0000 0.00709102
71200.0000 0.00710279
71300.0000 0.00711517
71400.0000 0.00719039
71500.0000 0.00716754
71600.0000 0.00721819
71700.0000 0.00723256
71800.0000 0.00731087
71900.0000 0.00727521
72000.0000 0.00723285
72100.0000 0.00723448
72200.0000 0.00732678
72300.0000 0.00731001
72400.0000 0.00733868
72500.0000 0.00730735
72600.0000 0.00730481
72700.0000 0.00732729
72800.0000 0.00733779
72900.0000 0.00724895
73000.0000 0.00740158
73100.0000 0.00737035
73200.0000 0.00741539
73300.0000 0.00739049
73400.0000 0.00734705
73500.0000 0.00737366
73600.0000 0.00745633
73700.0000 0.00739780
73800.0000 0.00743558
73900.0000 0.00749571
74000.0000 0.00748464
74100.0000 0.00742039
74200.0000 0.00749700
74300.0000 0.00751561
74400.0000 0.00749522
74500.0000 0.00753762
74600.0000 0.00749293
74700.0000 0.00749635
74800.0000 0.00760923
74900.0000 0.00770395
75000.0000 0.00762075
75100.0000 0.00766088
75200.0000 0.00764412
75300.0000 0.00757743
75400.0000 0.00764754
75500.0000 0.00768497
75600.0000 0.00773438
75700.0000 0.00771196
75800.0000 0.00771941
75900.0000 0.00766698
76000.0000 0.00767683
76100.0000 0.00773155
76200.0000 0.00772937
